submission_type,model_name,well_id,pad_id,phase,forecast_month,forecast_volume
strict_auto,smartcast_v1,42000000000000,pad-0,oil,2026-01-01,1625.962976
strict_auto,smartcast_v1,42000000000000,pad-0,oil,2026-02-01,1569.724663
strict_auto,smartcast_v1,42000000000000,pad-0,oil,2026-03-01,1516.710312
strict_auto,smartcast_v1,42000000000000,pad-0,oil,2026-04-01,1466.665168
strict_auto,smartcast_v1,42000000000000,pad-0,oil,2026-05-01,1419.359884
strict_auto,smartcast_v1,42000000000000,pad-0,oil,2026-06-01,1374.587484
strict_auto,smartcast_v1,42000000000000,pad-0,oil,2026-07-01,1332.16075
strict_auto,smartcast_v1,42000000000000,pad-0,oil,2026-08-01,1291.909951
strict_auto,smartcast_v1,42000000000000,pad-0,oil,2026-09-01,1253.680891
strict_auto,smartcast_v1,42000000000000,pad-0,oil,2026-10-01,1217.333196
strict_auto,smartcast_v1,42000000000000,pad-0,oil,2026-11-01,1182.738828
strict_auto,smartcast_v1,42000000000000,pad-0,oil,2026-12-01,1149.780782
strict_auto,smartcast_v1,42000000000000,pad-0,oil,2027-01-01,1118.351941
strict_auto,smartcast_v1,42000000000000,pad-0,oil,2027-02-01,1088.354075
strict_auto,smartcast_v1,42000000000000,pad-0,oil,2027-03-01,1059.696952
strict_auto,smartcast_v1,42000000000000,pad-0,oil,2027-04-01,1032.297551
strict_auto,smartcast_v1,42000000000000,pad-0,oil,2027-05-01,1006.079375
strict_auto,smartcast_v1,42000000000000,pad-0,oil,2027-06-01,980.971829
strict_auto,smartcast_v1,42000000000000,pad-0,oil,2027-07-01,956.90967
strict_auto,smartcast_v1,42000000000000,pad-0,oil,2027-08-01,933.832524
strict_auto,smartcast_v1,42000000000000,pad-0,oil,2027-09-01,911.684443
strict_auto,smartcast_v1,42000000000000,pad-0,oil,2027-10-01,890.413515
strict_auto,smartcast_v1,42000000000000,pad-0,oil,2027-11-01,869.971514
strict_auto,smartcast_v1,42000000000000,pad-0,oil,2027-12-01,850.313584
strict_auto,smartcast_v1,42000000000000,pad-0,gas,2026-01-01,2974.780238
strict_auto,smartcast_v1,42000000000000,pad-0,gas,2026-02-01,2899.70623
strict_auto,smartcast_v1,42000000000000,pad-0,gas,2026-03-01,2828.515486
strict_auto,smartcast_v1,42000000000000,pad-0,gas,2026-04-01,2760.912633
strict_auto,smartcast_v1,42000000000000,pad-0,gas,2026-05-01,2696.631638
strict_auto,smartcast_v1,42000000000000,pad-0,gas,2026-06-01,2635.432246
strict_auto,smartcast_v1,42000000000000,pad-0,gas,2026-07-01,2577.096921
strict_auto,smartcast_v1,42000000000000,pad-0,gas,2026-08-01,2521.428222
strict_auto,smartcast_v1,42000000000000,pad-0,gas,2026-09-01,2468.246526
strict_auto,smartcast_v1,42000000000000,pad-0,gas,2026-10-01,2417.38806
strict_auto,smartcast_v1,42000000000000,pad-0,gas,2026-11-01,2368.703187
strict_auto,smartcast_v1,42000000000000,pad-0,gas,2026-12-01,2322.054909
strict_auto,smartcast_v1,42000000000000,pad-0,gas,2027-01-01,2277.317558
strict_auto,smartcast_v1,42000000000000,pad-0,gas,2027-02-01,2234.375645
strict_auto,smartcast_v1,42000000000000,pad-0,gas,2027-03-01,2193.122851
strict_auto,smartcast_v1,42000000000000,pad-0,gas,2027-04-01,2153.461125
strict_auto,smartcast_v1,42000000000000,pad-0,gas,2027-05-01,2115.299905
strict_auto,smartcast_v1,42000000000000,pad-0,gas,2027-06-01,2078.555404
strict_auto,smartcast_v1,42000000000000,pad-0,gas,2027-07-01,2043.149995
strict_auto,smartcast_v1,42000000000000,pad-0,gas,2027-08-01,2009.011649
strict_auto,smartcast_v1,42000000000000,pad-0,gas,2027-09-01,1976.073439
strict_auto,smartcast_v1,42000000000000,pad-0,gas,2027-10-01,1944.273098
strict_auto,smartcast_v1,42000000000000,pad-0,gas,2027-11-01,1913.552617
strict_auto,smartcast_v1,42000000000000,pad-0,gas,2027-12-01,1883.857887
strict_auto,smartcast_v1,42000000000000,pad-0,water,2026-01-01,584.99682
strict_auto,smartcast_v1,42000000000000,pad-0,water,2026-02-01,573.331807
strict_auto,smartcast_v1,42000000000000,pad-0,water,2026-03-01,562.210845
strict_auto,smartcast_v1,42000000000000,pad-0,water,2026-04-01,551.596057
strict_auto,smartcast_v1,42000000000000,pad-0,water,2026-05-01,541.453075
strict_auto,smartcast_v1,42000000000000,pad-0,water,2026-06-01,531.750636
strict_auto,smartcast_v1,42000000000000,pad-0,water,2026-07-01,522.46024
strict_auto,smartcast_v1,42000000000000,pad-0,water,2026-08-01,513.555848
strict_auto,smartcast_v1,42000000000000,pad-0,water,2026-09-01,505.013617
strict_auto,smartcast_v1,42000000000000,pad-0,water,2026-10-01,496.811675
strict_auto,smartcast_v1,42000000000000,pad-0,water,2026-11-01,488.929919
strict_auto,smartcast_v1,42000000000000,pad-0,water,2026-12-01,481.349837
strict_auto,smartcast_v1,42000000000000,pad-0,water,2027-01-01,474.054355
strict_auto,smartcast_v1,42000000000000,pad-0,water,2027-02-01,467.027694
strict_auto,smartcast_v1,42000000000000,pad-0,water,2027-03-01,460.255257
strict_auto,smartcast_v1,42000000000000,pad-0,water,2027-04-01,453.723509
strict_auto,smartcast_v1,42000000000000,pad-0,water,2027-05-01,447.419892
strict_auto,smartcast_v1,42000000000000,pad-0,water,2027-06-01,441.33273
strict_auto,smartcast_v1,42000000000000,pad-0,water,2027-07-01,435.451157
strict_auto,smartcast_v1,42000000000000,pad-0,water,2027-08-01,429.765044
strict_auto,smartcast_v1,42000000000000,pad-0,water,2027-09-01,424.26494
strict_auto,smartcast_v1,42000000000000,pad-0,water,2027-10-01,418.942017
strict_auto,smartcast_v1,42000000000000,pad-0,water,2027-11-01,413.788014
strict_auto,smartcast_v1,42000000000000,pad-0,water,2027-12-01,408.795197
strict_auto,smartcast_v1,42000000000001,pad-0,oil,2026-01-01,1693.711433
strict_auto,smartcast_v1,42000000000001,pad-0,oil,2026-02-01,1635.129858
strict_auto,smartcast_v1,42000000000001,pad-0,oil,2026-03-01,1579.906576
strict_auto,smartcast_v1,42000000000001,pad-0,oil,2026-04-01,1527.776217
strict_auto,smartcast_v1,42000000000001,pad-0,oil,2026-05-01,1478.499879
strict_auto,smartcast_v1,42000000000001,pad-0,oil,2026-06-01,1431.861963
strict_auto,smartcast_v1,42000000000001,pad-0,oil,2026-07-01,1387.667448
strict_auto,smartcast_v1,42000000000001,pad-0,oil,2026-08-01,1345.739533
strict_auto,smartcast_v1,42000000000001,pad-0,oil,2026-09-01,1305.917595
strict_auto,smartcast_v1,42000000000001,pad-0,oil,2026-10-01,1268.055413
strict_auto,smartcast_v1,42000000000001,pad-0,oil,2026-11-01,1232.019613
strict_auto,smartcast_v1,42000000000001,pad-0,oil,2026-12-01,1197.688314
strict_auto,smartcast_v1,42000000000001,pad-0,oil,2027-01-01,1164.949938
strict_auto,smartcast_v1,42000000000001,pad-0,oil,2027-02-01,1133.702162
strict_auto,smartcast_v1,42000000000001,pad-0,oil,2027-03-01,1103.850991
strict_auto,smartcast_v1,42000000000001,pad-0,oil,2027-04-01,1075.309949
strict_auto,smartcast_v1,42000000000001,pad-0,oil,2027-05-01,1047.99935
strict_auto,smartcast_v1,42000000000001,pad-0,oil,2027-06-01,1021.845655
strict_auto,smartcast_v1,42000000000001,pad-0,oil,2027-07-01,996.780907
strict_auto,smartcast_v1,42000000000001,pad-0,oil,2027-08-01,972.742213
strict_auto,smartcast_v1,42000000000001,pad-0,oil,2027-09-01,949.671295
strict_auto,smartcast_v1,42000000000001,pad-0,oil,2027-10-01,927.514078
strict_auto,smartcast_v1,42000000000001,pad-0,oil,2027-11-01,906.220327
strict_auto,smartcast_v1,42000000000001,pad-0,oil,2027-12-01,885.743317
strict_auto,smartcast_v1,42000000000001,pad-0,gas,2026-01-01,3098.729415
strict_auto,smartcast_v1,42000000000001,pad-0,gas,2026-02-01,3020.527323
strict_auto,smartcast_v1,42000000000001,pad-0,gas,2026-03-01,2946.370298
strict_auto,smartcast_v1,42000000000001,pad-0,gas,2026-04-01,2875.950659
strict_auto,smartcast_v1,42000000000001,pad-0,gas,2026-05-01,2808.99129
strict_auto,smartcast_v1,42000000000001,pad-0,gas,2026-06-01,2745.241923
strict_auto,smartcast_v1,42000000000001,pad-0,gas,2026-07-01,2684.47596
strict_auto,smartcast_v1,42000000000001,pad-0,gas,2026-08-01,2626.487731
strict_auto,smartcast_v1,42000000000001,pad-0,gas,2026-09-01,2571.090131
strict_auto,smartcast_v1,42000000000001,pad-0,gas,2026-10-01,2518.112562
strict_auto,smartcast_v1,42000000000001,pad-0,gas,2026-11-01,2467.399153
strict_auto,smartcast_v1,42000000000001,pad-0,gas,2026-12-01,2418.807197
strict_auto,smartcast_v1,42000000000001,pad-0,gas,2027-01-01,2372.205789
strict_auto,smartcast_v1,42000000000001,pad-0,gas,2027-02-01,2327.474631
strict_auto,smartcast_v1,42000000000001,pad-0,gas,2027-03-01,2284.502969
strict_auto,smartcast_v1,42000000000001,pad-0,gas,2027-04-01,2243.188672
strict_auto,smartcast_v1,42000000000001,pad-0,gas,2027-05-01,2203.437401
strict_auto,smartcast_v1,42000000000001,pad-0,gas,2027-06-01,2165.161879
strict_auto,smartcast_v1,42000000000001,pad-0,gas,2027-07-01,2128.281245
strict_auto,smartcast_v1,42000000000001,pad-0,gas,2027-08-01,2092.720467
strict_auto,smartcast_v1,42000000000001,pad-0,gas,2027-09-01,2058.409832
strict_auto,smartcast_v1,42000000000001,pad-0,gas,2027-10-01,2025.284478
strict_auto,smartcast_v1,42000000000001,pad-0,gas,2027-11-01,1993.283977
strict_auto,smartcast_v1,42000000000001,pad-0,gas,2027-12-01,1962.351965
