well_id,phase,forecast_month,forecast_volume
42000000000000,oil,2026-01-01,1625.962976
42000000000000,oil,2026-02-01,1569.724663
42000000000000,oil,2026-03-01,1516.710312
42000000000000,oil,2026-04-01,1466.665168
42000000000000,oil,2026-05-01,1419.359884
42000000000000,oil,2026-06-01,1374.587484
42000000000000,oil,2026-07-01,1332.16075
42000000000000,oil,2026-08-01,1291.909951
42000000000000,oil,2026-09-01,1253.680891
42000000000000,oil,2026-10-01,1217.333196
42000000000000,oil,2026-11-01,1182.738828
42000000000000,oil,2026-12-01,1149.780782
42000000000000,oil,2027-01-01,1118.351941
42000000000000,oil,2027-02-01,1088.354075
42000000000000,oil,2027-03-01,1059.696952
42000000000000,oil,2027-04-01,1032.297551
42000000000000,oil,2027-05-01,1006.079375
42000000000000,oil,2027-06-01,980.971829
42000000000000,oil,2027-07-01,956.90967
42000000000000,oil,2027-08-01,933.832524
42000000000000,oil,2027-09-01,911.684443
42000000000000,oil,2027-10-01,890.413515
42000000000000,oil,2027-11-01,869.971514
42000000000000,oil,2027-12-01,850.313584
42000000000000,gas,2026-01-01,2974.780238
42000000000000,gas,2026-02-01,2899.70623
42000000000000,gas,2026-03-01,2828.515486
42000000000000,gas,2026-04-01,2760.912633
42000000000000,gas,2026-05-01,2696.631638
42000000000000,gas,2026-06-01,2635.432246
42000000000000,gas,2026-07-01,2577.096921
42000000000000,gas,2026-08-01,2521.428222
42000000000000,gas,2026-09-01,2468.246526
42000000000000,gas,2026-10-01,2417.38806
42000000000000,gas,2026-11-01,2368.703187
42000000000000,gas,2026-12-01,2322.054909
42000000000000,gas,2027-01-01,2277.317558
42000000000000,gas,2027-02-01,2234.375645
42000000000000,gas,2027-03-01,2193.122851
42000000000000,gas,2027-04-01,2153.461125
42000000000000,gas,2027-05-01,2115.299905
42000000000000,gas,2027-06-01,2078.555404
42000000000000,gas,2027-07-01,2043.149995
42000000000000,gas,2027-08-01,2009.011649
42000000000000,gas,2027-09-01,1976.073439
42000000000000,gas,2027-10-01,1944.273098
42000000000000,gas,2027-11-01,1913.552617
42000000000000,gas,2027-12-01,1883.857887
42000000000000,water,2026-01-01,584.99682
42000000000000,water,2026-02-01,573.331807
42000000000000,water,2026-03-01,562.210845
42000000000000,water,2026-04-01,551.596057
42000000000000,water,2026-05-01,541.453075
42000000000000,water,2026-06-01,531.750636
42000000000000,water,2026-07-01,522.46024
42000000000000,water,2026-08-01,513.555848
42000000000000,water,2026-09-01,505.013617
42000000000000,water,2026-10-01,496.811675
42000000000000,water,2026-11-01,488.929919
42000000000000,water,2026-12-01,481.349837
42000000000000,water,2027-01-01,474.054355
42000000000000,water,2027-02-01,467.027694
42000000000000,water,2027-03-01,460.255257
