well_id,phase,primary_phase,review_score,model_name,history_months,positive_months,backtest_score,cohort_weight,uptime,flags
42000000000005,gas,oil,1,recovery_skip3+legacy_hindcast_ensemble+gor_pooled,24,24,0.031612,0.0,0.958901,
42000000000005,oil,oil,1,recovery_skip3+legacy_hindcast_ensemble,24,24,0.039091,0.0,0.958025,
42000000000005,water,oil,1,recovery_skip3+legacy_hindcast_ensemble+wor_pooled,24,24,0.042273,0.0,0.957481,
42000000000000,gas,oil,0,mhyper_36+legacy_hindcast_ensemble+gor_pooled,24,24,0.001131,0.0,0.999415,
42000000000000,oil,oil,0,mhyper_18+legacy_hindcast_ensemble,24,24,0.005766,0.0,0.999199,
42000000000000,water,oil,0,mhyper_18+legacy_hindcast_ensemble+wor_pooled,24,24,0.008375,0.0,0.998625,
42000000000001,gas,oil,0,mhyper_36+legacy_hindcast_ensemble+gor_pooled,24,24,0.001131,0.0,0.999415,
42000000000001,oil,oil,0,mhyper_18+legacy_hindcast_ensemble,24,24,0.005766,0.0,0.999199,
42000000000001,water,oil,0,mhyper_18+legacy_hindcast_ensemble+wor_pooled,24,24,0.008375,0.0,0.998625,
42000000000002,gas,oil,0,mhyper_36+legacy_hindcast_ensemble+gor_pooled,24,24,0.001131,0.0,0.999415,
42000000000002,oil,oil,0,mhyper_18+legacy_hindcast_ensemble,24,24,0.005766,0.0,0.999199,
42000000000002,water,oil,0,mhyper_18+legacy_hindcast_ensemble+wor_pooled,24,24,0.008375,0.0,0.998625,
42000000000003,gas,oil,0,mhyper_36+legacy_hindcast_ensemble+gor_pooled,24,23,0.00112,0.0,0.999423,
42000000000003,oil,oil,0,mhyper_18+legacy_hindcast_ensemble,24,23,0.005718,0.0,0.999198,
42000000000003,water,oil,0,mhyper_18+legacy_hindcast_ensemble+wor_pooled,24,23,0.008319,0.0,0.998628,
42000000000004,gas,oil,0,mhyper_36+legacy_hindcast_ensemble+gor_pooled,24,24,0.001131,0.0,0.999415,
42000000000004,oil,oil,0,mhyper_18+legacy_hindcast_ensemble,24,24,0.005766,0.0,0.999199,
42000000000004,water,oil,0,mhyper_18+legacy_hindcast_ensemble+wor_pooled,24,24,0.008375,0.0,0.998625,
42000000000006,gas,oil,0,mhyper_36+legacy_hindcast_ensemble+gor_pooled,24,24,0.001131,0.0,0.999415,
42000000000006,oil,oil,0,mhyper_18+legacy_hindcast_ensemble,24,24,0.005766,0.0,0.999199,
42000000000006,water,oil,0,mhyper_18+legacy_hindcast_ensemble+wor_pooled,24,24,0.008375,0.0,0.998625,
42000000000007,gas,oil,0,mhyper_36+legacy_hindcast_ensemble+gor_pooled,24,24,0.001131,0.0,0.999415,
42000000000007,oil,oil,0,mhyper_18+legacy_hindcast_ensemble,24,24,0.005766,0.0,0.999199,
42000000000007,water,oil,0,mhyper_18+legacy_hindcast_ensemble+wor_pooled,24,24,0.008375,0.0,0.998625,
42000000000008,gas,oil,0,mhyper_36+legacy_hindcast_ensemble+gor_pooled,24,24,0.001131,0.0,0.999415,
42000000000008,oil,oil,0,mhyper_18+legacy_hindcast_ensemble,24,24,0.005766,0.0,0.999199,
42000000000008,water,oil,0,mhyper_18+legacy_hindcast_ensemble+wor_pooled,24,24,0.008375,0.0,0.998625,
42000000000009,gas,oil,0,mhyper_36+legacy_hindcast_ensemble+gor_pooled,24,24,0.001131,0.0,0.999415,
42000000000009,oil,oil,0,mhyper_18+legacy_hindcast_ensemble,24,24,0.005766,0.0,0.999199,
42000000000009,water,oil,0,mhyper_18+legacy_hindcast_ensemble+wor_pooled,24,24,0.008375,0.0,0.998625,
42000000000010,gas,oil,0,mhyper_36+legacy_hindcast_ensemble+gor_pooled,24,24,0.001131,0.0,0.999415,
42000000000010,oil,oil,0,mhyper_18+legacy_hindcast_ensemble,24,24,0.005766,0.0,0.999199,
42000000000010,water,oil,0,mhyper_18+legacy_hindcast_ensemble+wor_pooled,24,24,0.008375,0.0,0.998625,
42000000000011,gas,oil,0,mhyper_36+legacy_hindcast_ensemble+gor_pooled,24,24,0.001131,0.0,0.999415,
42000000000011,oil,oil,0,mhyper_18+legacy_hindcast_ensemble,24,24,0.005766,0.0,0.999199,
42000000000011,water,oil,0,mhyper_18+legacy_hindcast_ensemble+wor_pooled,24,24,0.008375,0.0,0.998625,
