well_id,month,oil,gas,water
42000000000000,2024-01-01,6000.0,8400.0,1320.0
42000000000000,2024-02-01,5498.93985,7797.496707,1242.760406
42000000000000,2024-03-01,5065.761573,7274.433618,1175.256685
42000000000000,2024-04-01,4688.120411,6816.527078,1115.772658
42000000000000,2024-05-01,4356.43073,6412.666034,1062.969098
42000000000000,2024-06-01,4063.145571,6054.086901,1015.786393
42000000000000,2024-07-01,3802.248919,5733.791369,973.375723
42000000000000,2024-08-01,3568.891245,5446.12804,935.049506
42000000000000,2024-09-01,3359.123564,5186.486782,900.245115
42000000000000,2024-10-01,3169.700446,4951.072096,868.497922
42000000000000,2024-11-01,2997.932123,4736.732755,839.420995
42000000000000,2024-12-01,2841.572067,4540.832163,812.689611
42000000000000,2025-01-01,2698.730554,4361.148575,788.029322
42000000000000,2025-02-01,2567.807516,4195.797481,765.20664
42000000000000,2025-03-01,2447.439871,4043.170667,744.021721
42000000000000,2025-04-01,2336.459831,3901.887918,724.302548
42000000000000,2025-05-01,2233.861635,3770.758439,705.900277
42000000000000,2025-06-01,2138.774789,3648.749791,688.685482
42000000000000,2025-07-01,2050.442401,3534.962699,672.545107
42000000000000,2025-08-01,1968.203495,3428.610488,657.379967
42000000000000,2025-09-01,1891.478512,3329.002181,643.102694
42000000000000,2025-10-01,1819.75733,3235.528533,629.636036
42000000000000,2025-11-01,1752.589323,3147.650424,616.911442
42000000000000,2025-12-01,1689.575058,3064.889155,604.867871
42000000000001,2024-01-01,6250.0,8750.0,1375.0
42000000000001,2024-02-01,5728.062344,8122.392403,1294.54209
42000000000001,2024-03-01,5276.834971,7577.535019,1224.225713
42000000000001,2024-04-01,4883.458762,7100.54904,1162.263185
42000000000001,2024-05-01,4537.948677,6679.860453,1107.259477
42000000000001,2024-06-01,4232.443303,6306.340522,1058.110826
42000000000001,2024-07-01,3960.675957,5972.699343,1013.933045
42000000000001,2024-08-01,3717.595047,5673.050041,974.009902
42000000000001,2024-09-01,3499.087045,5402.590398,937.755328
42000000000001,2024-10-01,3301.771298,5157.366767,904.685336
42000000000001,2024-11-01,3122.845962,4934.09662,874.396869
42000000000001,2024-12-01,2959.970903,4730.033504,846.551678
42000000000001,2025-01-01,2811.17766,4542.863099,820.863877
42000000000001,2025-02-01,2674.799496,4370.622376,797.09025
42000000000001,2025-03-01,2549.416533,4211.636112,775.022626
42000000000001,2025-04-01,2433.812324,4064.466582,754.481821
42000000000001,2025-05-01,2326.939203,3927.873374,735.312788
42000000000001,2025-06-01,2227.890406,3800.781032,717.380711
42000000000001,2025-07-01,2135.877501,3682.252811,700.56782
42000000000001,2025-08-01,2050.211974,3571.469258,684.770799
42000000000001,2025-09-01,1970.290117,3467.710605,669.89864
42000000000001,2025-10-01,1895.580552,3370.342222,655.870871
42000000000001,2025-11-01,1825.613878,3278.802525,642.616085
42000000000001,2025-12-01,1759.974019,3192.59287,630.070699
42000000000002,2024-01-01,6500.0,9100.0,1430.0
42000000000002,2024-02-01,5957.184837,8447.288099,1346.323773
42000000000002,2024-03-01,5487.90837,7880.63642,1273.194742
42000000000002,2024-04-01,5078.797112,7384.571001,1208.753713
42000000000002,2024-05-01,4719.466624,6947.054871,1151.549856
42000000000002,2024-06-01,4401.741036,6558.594143,1100.435259
42000000000002,2024-07-01,4119.102995,6211.607317,1054.490367
42000000000002,2024-08-01,3866.298849,5899.972043,1012.970298
42000000000002,2024-09-01,3639.050527,5618.694014,975.265541
42000000000002,2024-10-01,3433.84215,5363.661438,940.872749
42000000000002,2024-11-01,3247.7598,5131.460485,909.372744
42000000000002,2024-12-01,3078.369739,4919.234844,880.413745
42000000000002,2025-01-01,2923.624766,4724.577623,853.698432
42000000000002,2025-02-01,2781.791476,4545.447271,828.97386
42000000000002,2025-03-01,2651.393194,4380.101556,806.023531
42000000000002,2025-04-01,2531.164817,4227.045245,784.661093
42000000000002,2025-05-01,2420.016771,4084.988309,764.7253
42000000000002,2025-06-01,2317.006022,3952.812273,746.075939
42000000000002,2025-07-01,2221.312601,3829.542924,728.590533
42000000000002,2025-08-01,2132.220453,3714.328029,712.161631
42000000000002,2025-09-01,2049.101721,3606.419029,696.694585
42000000000002,2025-10-01,1971.403775,3505.155911,682.105706
